vol_base,conc,p_h
1,0.06,1.068264832
1,0.08,1.077604858
1,0.1,1.087150176
1,0.12,1.096910013
2,0.06,1.134698574
2,0.08,1.15490196
2,0.1,1.176091259
2,0.12,1.198367654
3,0.06,1.2001295
3,0.08,1.23312976
3,0.1,1.268845312
3,0.12,1.307763378
4,0.06,1.265314443
4,0.08,1.313619123
4,0.1,1.367976785
4,0.12,1.430124692
5,0.06,1.330993219
5,0.08,1.397940009
5,0.1,1.477121255
5,0.12,1.574031268
6,0.06,1.397940009
6,0.08,1.488116639
6,0.1,1.602059991
6,0.12,1.756961951
7,0.06,1.467020928
7,0.08,1.586996245
7,0.1,1.753327667
7,0.12,2.026328939
8,0.06,1.539269161
8,0.08,1.698970004
8,0.1,1.954242509
8,0.12,2.653212514
9,0.06,1.615995769
9,0.08,1.83159557
9,0.1,2.278753601
9,0.12,11.62433639
10,0.06,1.698970004
10,0.08,2
10,0.1,7
10,0.12,12
11,0.06,1.790740378
11,0.08,2.243038049
11,0.1,11.67778071
11,0.12,12.18293068
12,0.06,1.895264649
12,0.08,2.740362689
12,0.1,11.95860731
12,0.12,12.30103
13,0.06,2.019305155
13,0.08,11.24033216
13,0.1,12.11539342
13,0.12,12.38646019
14,0.06,2.176091259
14,0.08,11.69897
14,0.1,12.22184875
14,0.12,12.45229767
15,0.06,2.397940009
15,0.08,11.90308999
15,0.1,12.30103
15,0.12,12.50514998
16,0.06,2.812913357
16,0.08,12.03218468
16,0.1,12.3631779
16,0.12,12.54881448
17,0.06,10.86966623
17,0.08,12.12493874
17,0.1,12.41373428
17,0.12,12.58566958
